collection,mongodb_field_name,notes
buyboxes,asin,
buyboxes,brand,
buyboxes,product_sub_category,
buyboxes,vendor_confirmation_%,
buyboxes,po_received_amount,
buyboxes,po_received_units,
buyboxes,open_pos,
buyboxes,receive_fill_rate,
buyboxes,overall_vendor_lead_time_(days),
buyboxes,aged_90+_days_sellable_inventory,
buyboxes,aged_90+_days_sellable_units,
buyboxes,sellable_inventory_amount,
buyboxes,available_inventory,
buyboxes,unsellable_on_hand_inventory_amount,
buyboxes,unsellable_on_hand_units,
buyboxes,date,
buyboxes,product_name,
buyboxes,product_category,
buyboxes,pack_type,
buyboxes,pack_size,
buyboxes,sc_ideal_price,
buyboxes,vc_ideal_price,
buyboxes,sales_channel,
buyboxes,in_stock_flag,
buyboxes,cumulative_instock_days,
buyboxes,day_of_month,
buyboxes,instock_rate,
buyboxes,total_sales,
buyboxes,total_units,
buyboxes,sell_through,
buyboxes,dos,
buyboxes,oos_date,
buyboxes,min_available_qty,
buyboxes,max_available_qty,
buyboxes,stock_status,
buyboxes,no/low_stock_wt_open_pos,
buyboxes,no/low_stock_wt_no_open_pos,
buyboxes,date_temp,
buyboxes,current_owner,
buyboxes,current_owner_price,
buyboxes,current_owner_moq,
buyboxes,hijacker_1..20,
buyboxes,hijacker_1..20_price,
buyboxes,hijacker_1..20_moq,
buyboxes,sku,
buyboxes,fnsku,
buyboxes,condition,
buyboxes,your_price,
buyboxes,mfn_listing_exists,
buyboxes,mfn_fulfillable_quantity,
buyboxes,afn_listing_exists,
buyboxes,afn_warehouse_quantity,
buyboxes,afn_fulfillable_quantity,
buyboxes,afn_unsellable_quantity,
buyboxes,afn_reserved_quantity,
buyboxes,afn_total_quantity,
buyboxes,per_unit_volume,
buyboxes,afn_inbound_working_quantity,
buyboxes,afn_inbound_shipped_quantity,
buyboxes,afn_inbound_receiving_quantity,
buyboxes,afn_researching_quantity,
buyboxes,afn_reserved_future_supply,
buyboxes,afn_future_supply_buyable,
buyboxes,store,
buyboxes,reserved_qty,
buyboxes,reserved_customerorders,
buyboxes,reserved_fc_transfers,
buyboxes,reserved_fc_processing,
buyboxes,units_shipped_t30,
buyboxes,units_shipped_t60,
buyboxes,units_shipped_t90,
buyboxes,year_month,
inventories,sku,
inventories,fnsku,
inventories,asin,
inventories,condition,
inventories,your_price,
inventories,mfn_listing_exists,
inventories,mfn_fulfillable_quantity,
inventories,afn_listing_exists,
inventories,afn_warehouse_quantity,
inventories,afn_fulfillable_quantity,
inventories,afn_unsellable_quantity,
inventories,afn_reserved_quantity,
inventories,afn_total_quantity,
inventories,per_unit_volume,
inventories,afn_inbound_working_quantity,
inventories,afn_inbound_shipped_quantity,
inventories,afn_inbound_receiving_quantity,
inventories,afn_researching_quantity,
inventories,afn_reserved_future_supply,
inventories,afn_future_supply_buyable,
inventories,store,
inventories,date,
inventories,reserved_qty,
inventories,reserved_customerorders,
inventories,reserved_fc_transfers,
inventories,reserved_fc_processing,
inventories,available_inventory,
inventories,units_shipped_t30,
inventories,units_shipped_t60,
inventories,units_shipped_t90,
inventories,open_pos,
inventories,sell_through,
inventories,dos,
inventories,min_available_qty,
inventories,max_available_qty,
inventories,stock_status,
inventories,year_month,
inventories,instock_rate,
inventories,no/low_stock_wt_open_pos,
inventories,no/low_stock_wt_no_open_pos,
inventories,total_sales,
inventories,total_units,
inventories,product_name,
inventories,product_category,
inventories,pack_type,
inventories,pack_size,
inventories,sc_ideal_price,
inventories,vc_ideal_price,
inventories,sales_channel,
inventories,brand,
inventories,product_sub_category,
inventories,vendor_confirmation_%,
inventories,po_received_amount,
inventories,po_received_units,
inventories,receive_fill_rate,
inventories,overall_vendor_lead_time_(days),
inventories,aged_90+_days_sellable_inventory,
inventories,aged_90+_days_sellable_units,
inventories,sellable_inventory_amount,
inventories,unsellable_on_hand_inventory_amount,
inventories,unsellable_on_hand_units,
inventories,in_stock_flag,
inventories,cumulative_instock_days,
inventories,day_of_month,
inventories,oos_date,
inventories,date_temp,
marketings,sku,
marketings,fnsku,
marketings,asin,
marketings,condition,
marketings,your_price,
marketings,mfn_listing_exists,
marketings,mfn_fulfillable_quantity,
marketings,afn_listing_exists,
marketings,afn_warehouse_quantity,
marketings,afn_fulfillable_quantity,
marketings,afn_unsellable_quantity,
marketings,afn_reserved_quantity,
marketings,afn_total_quantity,
marketings,per_unit_volume,
marketings,afn_inbound_working_quantity,
marketings,afn_inbound_shipped_quantity,
marketings,afn_inbound_receiving_quantity,
marketings,afn_researching_quantity,
marketings,afn_reserved_future_supply,
marketings,afn_future_supply_buyable,
marketings,store,
marketings,date,
marketings,reserved_qty,
marketings,reserved_customerorders,
marketings,reserved_fc_transfers,
marketings,reserved_fc_processing,
marketings,available_inventory,
marketings,units_shipped_t30,
marketings,units_shipped_t60,
marketings,units_shipped_t90,
marketings,open_pos,
marketings,sell_through,
marketings,dos,
marketings,min_available_qty,
marketings,max_available_qty,
marketings,stock_status,
marketings,year_month,
marketings,instock_rate,
